rank,total_score,llm_relevance,llm_summary_ja,llm_reason,llm_tags,follow_score,follow_reason,title,authors,affiliations,venue,venue_tier,venue_score,citation_count,influential_citations,citation_velocity,citation_score,author_h_index,author_score,embedding_similarity,github_stars,github_score,has_code,is_official_repo,keyword_match_count,keyword_score,matched_keywords,categories,published_date,url,pdf_url,github_url,arxiv_id,source,abstract
1,56.67,,,,,0.0,,AgentHijack: Benchmarking Computer Use Agent Robustness to Common Environment Corruptions,Jingwei Sun; Jianing Zhu; Yuanyi Li; Tongliang Liu; Xia HU; Bo Han,,ICML,1,100.0,0,0,0.0,0.0,0,0.0,,0,0.0,False,False,2,66.67,large language model; multimodal,cs.AI,2026-05-25,http://arxiv.org/abs/2605.25707v1,https://arxiv.org/pdf/2605.25707v1,,2605.25707,arxiv,"Autonomous computer use agents that powered by multimodal large language models (MLLMs) are emerging as capable assistants for completing complex digital workflows. However, real-world execution environments are far from ideal: pop-ups, resolution changes, and competing applications frequently interfere with agent perception and control. We introduce AgentHijack, a benchmark designed to evaluate the robustness of computer-use agents under common corruptions, where the uncertainties in dynamic environment disrupt the execution flow without direct adversarial intent. Specifically, AgentHijack introduces 9 configurable common corruptions to replicate realistic imperfect scenarios. We evaluate a variety of desktop tasks that utilize MLLM-based agents and discover that even minor instances of corruption can result in substantial performance degradation, which emphasizes the fragility of agents and underscores the necessity of robustness evaluation. Afterward, we propose AgentHijack-Agent, a framework that integrates an action generator with enhanced grounding capabilities and an onlooker responsible for behavior summarization and environment checking. Extensive experiments validate its effectiveness. Our code, environment, baseline models and data are publicly available at: https://AgentHijack.github.io."
2,46.67,,,,,0.0,,Can MLLMs Reason Beyond Language? VisReason: A Comprehensive Benchmark for Vision-Centric Reasoning,Longteng Guo; Yifan Wang; Pengkang Huo; Tailai Chen; Yuze Wu; Jing Liu; Xinxin Zhu,,ACL,2,80.0,0,0,0.0,0.0,0,0.0,,0,0.0,False,False,2,66.67,large language model; multimodal,cs.CV,2026-05-25,http://arxiv.org/abs/2605.25364v1,https://arxiv.org/pdf/2605.25364v1,,2605.25364,arxiv,"Recent multimodal large language models (MLLMs) achieve strong performance on visual reasoning benchmarks, yet it remains unclear to what extent such performance reflects reasoning directly grounded in visual evidence. We introduce VisReason, a benchmark for vision-centric reasoning in everyday scenarios where perception and inference are tightly coupled. VisReason contains 1,505 questions across 10 categories spanning perceptual, structural, and conceptual reasoning. Our evaluation shows that VisReason poses a qualitatively different challenge from existing benchmarks, exposing substantial gaps between humans and current MLLMs and revealing limited benefits from test-time reasoning strategies. VisReason offers a focused diagnostic for evaluating vision-centric reasoning beyond language."
3,33.33,,,,,0.0,,Causal methods for LLM development and evaluation,Dennis Frauen; Marie Brockschmidt; Konstantin Hess; Haorui Ma; Yuchen Ma; Abdurahman Maarouf; Maresa Schröder; Jonas Schweisthal; Yuxin Wang; Athiya Deviyani; Sonali Parbhoo; Rahul G. Krishnan; Stefan Feuerriegel,,KDD,3,60.0,0,0,0.0,0.0,0,0.0,,0,0.0,False,False,1,33.33,large language model,cs.LG,2026-05-25,http://arxiv.org/abs/2605.25998v1,https://arxiv.org/pdf/2605.25998v1,,2605.25998,arxiv,"Large language model (LLM) development is currently driven by large-scale empirical iteration over data mixtures, reward models, routing strategies, and evaluation pipelines. Here, we argue that many central questions in LLM development and evaluation are inherently causal: What is the effect of adding a data domain during pretraining? How do annotator preferences change when LLMs generate text in a different style? Should a prompt be routed to a larger or smaller model given inference cost constraints? In general, causal methods are well-suited to such settings where interventions change outcomes but, surprisingly, are underrepresented in LLM development. Our contribution is threefold: (1) We explain how causal methods can help develop modern LLM development and evaluation: LLM development relies heavily on logged data, which are often subject to confounding and distribution shifts; evaluation uses learned but potentially biased judges; and deployment environments are non-stationary. These conditions make purely predictive approaches fragile and create opportunities for principled identification and estimation methods from causal inference. (2) We further map opportunities for causal methods in the entire LLM development pipeline, including pretraining, alignment, routing, agentic workflows, and evaluation. (3) We discuss new research opportunities around leveraging causal methods for LLM development and evaluation. Overall, we argue that causal methods are potentially underutilized for the LLM development and evaluation pipeline, despite the fact that such methods can ensure a reliable and scientifically grounded design."
4,30.0,,,,,0.0,,DeGRe: Dense-supervised Generative Reranking for Recommendation,Chaotian Song; Jingyao Zhang; Chenghao Chen; Zisen Sang; Dehai Zhao; Guodong Cao; Boxi Wu; Deng Cai; Jia Jia,,KDD,3,60.0,0,0,0.0,0.0,0,0.0,,0,0.0,False,False,0,0.0,retrieval,cs.IR; cs.AI; cs.LG,2026-05-25,http://arxiv.org/abs/2605.25749v1,https://arxiv.org/pdf/2605.25749v1,,2605.25749,arxiv,"In multi-stage recommender systems, reranking optimizes overall utility by capturing intra-list contextual dependencies, yet its central challenge lies in exploring optimal sequences within an exponentially large permutation space. Recent studies have shifted towards end-to-end generative frameworks, which typically leverage list-wise rewards or preference alignment to guide generator training. However, these methods still face two critical issues. First is the heuristic label bias. Existing methods often construct training targets based on simple rules, such as promoting clicked items to the top, while ignoring causal dependencies within the list context. Second is the credit assignment problem. Sparse list-level posterior rewards fail to directly guide intermediate steps in sequence generation, leading to ambiguous optimization directions.
  To address these issues, we propose DeGRe (Dense-supervised Generative Reranking), a generative reranking framework that bridges the gap between offline exploration and online efficiency through dense supervision. The core of DeGRe lies in its offline-online decoupled design. During the offline phase, we introduce a Lookahead Evaluator based on cumulative regression, which leverages beam search to actively mine high-value lookahead sequences in the unexposed space. During training, we transform the step-wise value estimations from the evaluator into dense supervision signals and distill them into a lightweight Online Generator. This mechanism enables the generator to internalize lookahead planning capabilities, requiring only a single efficient greedy decoding pass during online inference to approximate the global optimum. Experiments demonstrate that DeGRe outperforms baseline models on public benchmarks and industrial datasets. We have successfully deployed DeGRe on Taobao Flash Shopping, significantly improving online recommendations."
5,18.33,,,,,0.0,,MTLLFM: Multimodal-Temporal Laughter Localization: UR-FUNNY-Temporal and SMILE-Temporal Benchmarks with an Adaptive Multimodal Fusion Model,Eyal Hanania; Nadav Kirsch; Daniel Arkushin; Jonathan Benvenisti; Amos Bercovich; Elie Zemmour; Sahar Froim,,Workshop,4,30.0,0,0,0.0,0.0,0,0.0,,0,0.0,False,False,1,33.33,multimodal,cs.CV,2026-05-25,http://arxiv.org/abs/2605.25409v1,https://arxiv.org/pdf/2605.25409v1,,2605.25409,arxiv,"Detecting laughter in video is essential for affective computing and narrative understanding, yet existing approaches treat it as coarse clip-level classification, failing to capture precise temporal boundaries of brief, transient laughter events. We address this gap with two complementary contributions.
  First, we introduce UR-FUNNY-Temporal and SMILE-Temporal, fully annotated temporal laughter datasets extending two widely-used humor benchmarks. Our annotations cover over 11,053 videos (78.8 hours) and provide precise onset/offset boundaries for each laughter event, along with rich metadata distinguishing speaker vs. audience laughter, modality dominance (acoustic, visual, or both), and intensity levels.
  Second, we propose a lightweight weakly-supervised framework for temporal laughter localization. Our architecture combines fixed HuBERT and MAE encoders with temporal softmax pooling and adaptive modality gating, learning fine-grained temporal grounding from clip-level labels without requiring frame-level annotations during training. Experiments across three datasets demonstrate that our approach substantially outperforms multimodal foundation models including Gemini 3 Flash, achieving 99% F1 and 68.1% localization precision on sports broadcast data. Ablations validate each architectural component. Furthermore, our precise temporal tags improve downstream laughter reasoning by 227% on CIDEr, enabling GPT-3.5 to outperform GPT-4o. The code, UR-FUNNY-Temporal and SMILE-Temporal datasets are publicly available at https://github.com/WSCSports/MTLLFM-temporal-laughter-localization."
6,10.0,,,,,0.0,,Towards Reliable Fetal Ultrasound Interpretation with Multi-Agent Collaboration,Xiaotian Hu; Mingxuan Liu; Junwei Huang; Kasidit Anmahapong; Yifei Chen; Yiming Huang; Xuguang Bai; Zihan Li; Hongjia Yang; Yingqi Hao; Hong Xu; Yu Jiang; Tian Tian; Yi Liao; Haibo Qu; Qiyuan Tian,,,0,0.0,0,0,0.0,0.0,0,0.0,,0,0.0,False,False,3,100.0,large language model; multimodal; retrieval,cs.CV; cs.MA,2026-05-25,http://arxiv.org/abs/2605.25357v1,https://arxiv.org/pdf/2605.25357v1,,2605.25357,arxiv,"Automated fetal ultrasound interpretation requires a workflow from visual perception, including plane recognition and anatomical segmentation, to clinical understanding, including biometric measurement and diagnostic reporting. However, the prevailing ""one-task, one-model"" paradigm limits systematic integration of evidence across this multi-step process. Although multimodal large language models (MLLMs) show promising visual understanding, their limited domain-specific grounding and hallucination risks restrict reliability in fetal ultrasound analysis. To address these limitations, we propose FetUSAgents, a tool-augmented multi-agent system for comprehensive fetal ultrasound interpretation, supporting visual question answering (VQA), report generation, image captioning, and video summarization. FetUSAgents coordinates task-specific visual tools through collaborative LLM agents and decomposes clinical queries into subtasks that progress from anatomical recognition to quantitative measurement. We further introduce Dual-Path Evidence Arbitration (DPEA), which integrates LLM-based deliberative reasoning with structured computational evidence from specialized visual tools. A retrieval-enhanced evidence bank consolidates intermediate findings to support traceable and clinically grounded conclusions. In addition, we construct FetUS-VQA, a dedicated VQA benchmark for fetal ultrasound, comprising 1,892 images and 3,205 question-answer pairs across 10 clinical tasks. Extensive out-of-distribution experiments show that FetUSAgents outperforms general and medical MLLMs, exceeding the strongest baseline by more than 25 percent in VQA accuracy. These results suggest a scalable route toward evidence-driven clinical assistants for prenatal imaging. Code is available."
7,6.67,,,,,0.0,,From Model Scaling to System Scaling: Scaling the Harness in Agentic AI,Shangding Gu,,,0,0.0,0,0,0.0,0.0,0,0.0,,0,0.0,False,False,2,66.67,large language model; retrieval,cs.AI; cs.LG,2026-05-25,http://arxiv.org/abs/2605.26112v1,https://arxiv.org/pdf/2605.26112v1,,2605.26112,arxiv,"This paper studies the next major bottleneck in agentic AI as system scaling, not only model scaling: the design of auditable, persistent, modular, and verifiable architectures around foundation models. We refer to this shift as scaling the harness: treating the structured execution layer around a foundation model as a first-class object of design, evaluation, and optimization. Although recent large language models enable agents to use tools, retrieve information, maintain memory, and execute long-horizon workflows, evaluation remains largely model-centric, often reducing agents to final-task success while treating memory, retrieval, tool use, orchestration, verification, and governance as secondary implementation details. This framing is increasingly inadequate because agent performance emerges from the interaction among the foundation model, memory substrate, context constructor, skill-routing layer, orchestration loop, and verification-and-governance layer. Together, these components form the agent harness, which translates model capability into long-horizon agent behavior. We study scaling the harness through three core bottlenecks: context governance, trustworthy memory, and dynamic skill routing, together with the orchestration and governance mechanisms that coordinate and constrain them. We further outline a research agenda for harness-level benchmarks that go beyond one-shot task success to measure trajectory quality, memory hygiene, context efficiency, communication fidelity, verification cost, and safe evolution over time. To make the discussion concrete, we develop CheetahClaws: https://github.com/SafeRL-Lab/cheetahclaws, a Python-native reference harness, and compare it with Claude Code and OpenClaw. Our main claim is that future progress in agentic AI will depend as much on system design as on stronger foundation models."
8,6.67,,,,,0.0,,Squeezing Capacity from Multimodal Large Language Models for Subject-driven Generation,Shuhong Zheng; Aashish Kumar Misraa; Yu-Teng Li; Yu-Jhe Li; Igor Gilitschenski,,,0,0.0,0,0,0.0,0.0,0,0.0,,0,0.0,False,False,2,66.67,large language model; multimodal,cs.CV; cs.AI; cs.GR; cs.LG; cs.MM,2026-05-25,http://arxiv.org/abs/2605.26111v1,https://arxiv.org/pdf/2605.26111v1,,2605.26111,arxiv,"Subject-driven image generation aims to synthesize new images that preserve the identity of the given subject while following textual instructions. Existing approaches often encode text and reference images separately. This limits cross-modal reasoning abilities and causes copy-paste artifacts. Recent frameworks that connect multimodal models and diffusion models improve instruction following, but largely overlook identity preservation. To address these limitations, we condition diffusion models on Multimodal Large Language Models (MLLMs) that jointly encode text and reference images, and augment it with VAE-based identity conditioning. A novel Dual Layer Aggregation (DLA) module is designed to aggregate multi-level MLLM features for optimal conditioning, and a multi-stage denoising strategy is applied to progressively balance the semantic information from MLLM and fine-detail identity from VAE during inference. Extensive experiments demonstrate that our approach harmonizes multimodal understanding with identity preservation, mitigates copy-paste issues, and achieves superior performance regarding human preference on subject-driven image generation. Our project website is available at https://zsh2000.github.io/squeeze-mllm-subject-gen/."
9,6.67,,,,,0.0,,Prism: A Plug-in Reproducible Infrastructure for Scalable Multimodal Continual Instruction Tuning,Jun-Tao Tang; Yu-Cheng Shi; Zhen-Hao Xie; Da-Wei Zhou,,,0,0.0,0,0,0.0,0.0,0,0.0,,0,0.0,False,False,2,66.67,large language model; multimodal,cs.LG; cs.CL; cs.CV,2026-05-25,http://arxiv.org/abs/2605.26110v1,https://arxiv.org/pdf/2605.26110v1,,2605.26110,arxiv,"Multimodal Large Language Models (MLLMs) achieve versatility by reformulating diverse tasks into a unified instruction-following framework via instruction tuning. However, real-world deployment requires continuous adaptation to emerging tasks, motivating Multimodal Continual Instruction Tuning (MCIT). Despite its growing importance, current MCIT research is hindered by severe engineering bottlenecks. Existing methods are typically implemented by directly modifying the base MLLM codebase, which imposes substantial implementation overhead and yields method-specific architectures that severely limit code reuse and fair comparison. To address this, we introduce Prism, a plug-in reproducible codebase specifically designed for scalable MCIT research. It separates algorithmic development from the backbone implementation via a lightweight plugin registration mechanism, enabling new strategies to be integrated as independent plugins without modifying the underlying MLLM codebase, thereby eliminating structural fragmentation and accelerating method development. Prism natively supports widely used large-scale training pipeline, thereby enabling reproducible and scalable MCIT experimentation. Code is available at https://github.com/LAMDA-CL/Prism."
10,6.67,,,,,0.0,,Language Models Need Sleep,Sangyun Lee; Sean McLeish; Tom Goldstein; Giulia Fanti,,,0,0.0,0,0,0.0,0.0,0,0.0,,0,0.0,False,False,2,66.67,large language model; retrieval,cs.CL; cs.AI,2026-05-25,http://arxiv.org/abs/2605.26099v1,https://arxiv.org/pdf/2605.26099v1,,2605.26099,arxiv,"Transformer-based large language models are increasingly used for long-horizon tasks; however, their attention mechanism scales poorly with context length. To handle this, we study a sleep-like consolidation mechanism in which a model periodically converts recent context into persistent fast weights before clearing its key-value cache. During sleep, the model performs $N$ offline recurrent passes over the accumulated context and updates the fast weights in its state-space model (SSM) blocks through a learned local rule. During inference, this shifts extra computation to sleep while preserving the latency of wake-time prediction. We test our method on controlled synthetic tasks, including cellular automata and multi-hop graph retrieval, as well as a realistic math reasoning task, on which a regular transformer as well as SSM-attention hybrid models fail. We then show that increasing sleep duration $N$ for our models improves performance, with the largest gains on examples that require deeper reasoning."
