rank,total_score,llm_relevance,llm_summary_ja,llm_reason,llm_tags,follow_score,follow_reason,title,authors,affiliations,venue,venue_tier,venue_score,citation_count,influential_citations,citation_velocity,citation_score,author_h_index,author_score,embedding_similarity,github_stars,github_score,has_code,is_official_repo,keyword_match_count,keyword_score,matched_keywords,categories,published_date,url,pdf_url,github_url,arxiv_id,source,abstract
1,331.72,,,,,0.0,,Implicit Safety Alignment from Crowd Preferences,Qian Lin; Daniel S. Brown,,ICML,1,100.0,0,0,0.0,0.0,0,0.0,,1,7.53,True,False,1,33.33,reinforcement learning from human feedback,cs.AI,2026-05-20,http://arxiv.org/abs/2605.21822v1,https://arxiv.org/pdf/2605.21822v1,https://github.com/qianlin04/Implicit-Safety-Alignment-from-Crowd-Preferences,2605.21822,arxiv,"Reinforcement Learning from Human Feedback (RLHF) can reveal implicit objectives such as safety considerations that go beyond task completion. In this work, we focus on the common safety criteria embedded in crowd preference datasets, where different users may express distinct preferences or objectives, yet follow similar safety principles. Our aim is to discover shared safety criteria from crowd preferences and then transfer them to downstream RL tasks to regularize agent behavior and enforce safety. We first show that direct reward combination-optimizing a preference-learned reward model together with downstream task rewards-has inherent limitations. Motivated by this, we propose Safe Crowd Preference-based RL, a hierarchical framework that extracts safety-aligned skills from crowd preferences and composes them via a high-level policy to safely solve downstream tasks. Experiments across safe RL environments and a preliminary LLM-style task with diverse user goals and shared safety constraints demonstrate that our approach substantially lowers safety costs without access to explicit safety rewards, while achieving task performance comparable to oracle methods trained with ground-truth safety signals."
2,316.67,,,,,0.0,,AtelierEval: Agentic Evaluation of Humans & LLMs as Text-to-Image Prompters,Hanjun Luo; Zhimu Huang; Sylvia Chung; Yiran Wang; Yingbin Jin; Jialin Li; Jiang Li; Xinfeng Li; Hanan Salam,,ICML,1,100.0,0,0,0.0,0.0,0,0.0,,0,0.0,False,False,1,33.33,large language model,cs.AI,2026-05-21,http://arxiv.org/abs/2605.22645v1,https://arxiv.org/pdf/2605.22645v1,,2605.22645,arxiv,"Text-to-image (T2I) systems increasingly rely on upstream prompters, either humans or multimodal large language models (MLLMs), to translate user intent into detailed prompts. Yet current benchmarks fix the prompt and only evaluate T2I models, leaving the prompting proficiency of this upstream component entirely unmeasured. We introduce AtelierEval, the first unified benchmark that quantifies prompting proficiency across 360 expert-crafted tasks. Grounded in a cognitive view, it spans three task categories and instantiates tasks using a taxonomy of real-world challenges, with a dual interface for both humans and MLLMs. To enable scalable and reliable evaluation, we propose AtelierJudge, a skill-based, memory-augmented agentic evaluator. It produces subjective and objective scores for prompt-image pairs, achieving a Spearman correlation of 0.79 with human experts, approaching human performance. Extensive experiments benchmark 8 MLLMs against 48 human users across 4 T2I backends, validate AtelierEval as a robust diagnostic tool, and reveal the superiority of mimicry over planning, advocating for an image-augmented direction for future prompters. Our work is released to support future research."
3,316.67,,,,,0.0,,GraphFlow: A Graph-Based Workflow Management for Efficient LLM-Agent Serving,Ao Li; Shangpeng Yang; Fahao Chen; Tianheng Xu; Peng Li; Zhou Su,,ICML,1,100.0,0,0,0.0,0.0,0,0.0,,0,0.0,False,False,1,33.33,large language model,cs.LG,2026-05-21,http://arxiv.org/abs/2605.22566v1,https://arxiv.org/pdf/2605.22566v1,,2605.22566,arxiv,"Large Language Model (LLM)-based agents demonstrate strong reasoning and execution capabilities on complex tasks when guided by structured instructions, commonly referred to as workflows. However, existing workflow-assisted agent serving systems typically rely on predefined templates and shallow matching mechanisms, which limit their ability to capture deep semantic relationships and generalize to previously unseen tasks. To address these limitations, we propose a new workflow management paradigm that represents workflows using a unified graph, termed wGraph, where each node corresponds to an atomic operation. wGraph serves as a shared substrate from which task-specific workflows are dynamically instantiated. Building on wGraph primitives, we introduce GraphFlow, a system that efficiently integrates workflows into agent serving through two key designs. First, adaptive workflow generation dynamically constructs workflows from wGraph based on task semantics and constraint requirements. Second, workflow state management exploits wGraph structure to efficiently manage Key-Value (KV) caches, reducing redundant computation during agent serving. Extensive experiments across five benchmark datasets show that GraphFlow consistently outperforms state-of-the-art methods, yielding an average performance improvement of approximately 4.95 percentage points, while achieving an approximately 4$\times$ reduction in memory footprint."
4,256.67,,,,,0.0,,SegCompass: Exploring Interpretable Alignment with Sparse Autoencoders for Enhanced Reasoning Segmentation,Zhenyu Lu; Liupeng Li; Jinpeng Wang; Haoqian Kang; Yan Feng; Ke Chen; Yaowei Wang,,CVPR,2,80.0,0,0,0.0,0.0,0,0.0,,0,0.0,False,False,1,33.33,large language model,cs.CV; cs.LG; cs.MM; eess.IV,2026-05-21,http://arxiv.org/abs/2605.22658v1,https://arxiv.org/pdf/2605.22658v1,,2605.22658,arxiv,"While large language models provide strong compositional reasoning, existing reasoning segmentation pipelines fail to transparently connect this reasoning to visual perception. Current methods, such as latent query alignment, are end-to-end yet opaque ""black boxes"". Conversely, textual localization readout is merely readable, not truly interpretable, often functioning as an unconstrained post-hoc step. To bridge this interpretability gap, we propose SegCompass, an end-to-end model that leverages a Sparse Autoencoder (SAE) to forge an explicit, interpretable, and differentiable alignment pathway. Given an image-instruction pair, SegCompass first generates a chain-of-thought (CoT) trace. The core of our method is an SAE that maps both the CoT and visual tokens into a shared, high-dimensional sparse concept space. A query codebook selects salient concepts from this space, which are then spatially grounded by a slot mapper into a multi-slot heatmap that guides the final mask decoder. The entire model is trained jointly, unifying reinforcement learning for the reasoning path with standard segmentation supervision. This SAE-driven interface provides a ""white-box"" connection that is significantly more traceable than latent queries and more coherent than textual readouts. Extensive experiments on five challenging benchmarks demonstrate that SegCompass matches or surpasses state-of-the-art performance. Crucially, our visual and quantitative analyses show a strong correlation between the quality of the learned sparse concepts and final mask accuracy, confirming that SegCompass achieves superior results through its enhanced and inspectable alignment. Code is available at https://github.com/ZhenyuLU-Heliodore/SegCompass."
5,256.67,,,,,0.0,,LANG: Reinforcement Learning for Multilingual Reasoning with Language-Adaptive Hint Guidance,Yuchun Fan; Bei Li; Peiguang Li; Yilin Wang; Yongyu Mu; Jian Yang; Xin Chen; Rongxiang Weng; Jingang Wang; Xunliang Cai; Jingbo Zhu; Tong Xiao,,ACL,2,80.0,0,0,0.0,0.0,0,0.0,,0,0.0,False,False,1,33.33,large language model,cs.CL,2026-05-21,http://arxiv.org/abs/2605.22567v1,https://arxiv.org/pdf/2605.22567v1,,2605.22567,arxiv,"Reinforcement learning has proven effective for enhancing multi-step reasoning in large language models (LLMs), yet its benefits have not fully translated to multilingual contexts. Existing methods struggle with a fundamental trade-off: prioritizing input-language consistency severely hampers reasoning quality, while prioritizing reasoning often leads to unintended language drift toward English. We address this challenge with LANG, a novel framework that leverages language-conditioned hints to guide exploration in non-English reasoning tasks. Our method incorporates two key mechanisms to prevent dependency on these hints: a progressive decay schedule that gradually withdraws scaffolding, and a language-adaptive switch that tailors learning horizons to specific language difficulties. Empirical results on challenging multilingual mathematical benchmarks reveal that LANG substantially enhances reasoning performance without compromising language consistency. Moreover, we show that our framework generalizes beyond mathematics, fostering more consistent language alignment across model layers"
6,256.67,,,,,0.0,,MTR-Suite: A Framework for Evaluating and Synthesizing Conversational Retrieval Benchmarks,Junhao Ruan; Abudukeyumu Abudula; Bei Li; Yongjing Yin; Xinyu Liu; Kechen Jiao; Xin Chen; Jingang Wang; Xunliang Cai; Tong Xiao; Jingbo Zhu,,ACL,2,80.0,0,0,0.0,0.0,0,0.0,,0,0.0,False,False,1,33.33,retrieval augmented generation,cs.CL,2026-05-20,http://arxiv.org/abs/2605.20729v1,https://arxiv.org/pdf/2605.20729v1,,2605.20729,arxiv,"Accurate evaluation of conversational retrieval is pivotal for advancing Retrieval-Augmented Generation (RAG) systems. However, existing conversational retrieval benchmarks suffer from costly, sparse human annotation or rigid, unnatural automated heuristics. To address these challenges, we introduce MTR-Suite, a unified framework for auditing, synthesizing, and benchmarking retrieval. It features: (1) MTR-Eval, an LLM-based auditor quantifying alignment gaps in previous benchmarks; (2) MTR-Pipeline, a multi-agent system using greedy traversal clustering to generate high-fidelity dialogues at 1/400th human cost; and (3) MTR-Bench, a rigorous general-domain benchmark. MTR-Bench mimics production-style challenges (hard topic switching, verbosity), offering superior discriminative power. We make our code and data publicly available to facilitate future research at https://github.com/rangehow/mtr-suite."
7,33.33,,,,,0.0,,A Comparative Study of Language Models for Khmer Retrieval-Augmented Question Answering,Sereiwathna Ros; Phannet Pov; Ratanaktepi Chhor; Kimleang Ly; Wan-Sup Cho; Saksonita Khoeurn,,,0,0.0,0,0,0.0,0.0,0,0.0,,0,0.0,False,False,2,66.67,large language model; retrieval augmented generation,cs.CL,2026-05-21,http://arxiv.org/abs/2605.22099v1,https://arxiv.org/pdf/2605.22099v1,,2605.22099,arxiv,"Retrieval-Augmented Generation (RAG) has emerged as a promising paradigm for grounding large language model (LLM) outputs in retrieved evidence, thereby reducing hallucination and improving factual accuracy. Its efficacy, however, remains largely unexamined for low-resource, non-Latin-script languages such as Khmer. In this paper, we present a RAG-based question answering system for Khmer-language telecom-domain documents. We conduct a two-phase comparative evaluation. First, we benchmark three embedding models: BGE-M3 (567M), Jina-Embeddings-v3 (570M), and Qwen3-Embedding (597M), for dense retrieval over Khmer documents. BGE-M3 consistently performs best, achieving a Hit Rate@3 of 0.285, File Hit Rate@3 of 0.700, MRR@3 of 0.221, and Precision@3 of 0.112, substantially outperforming the other retrievers. Second, using BGE-M3 as the selected retriever, we evaluate five generator backends: Qwen3 (8B), Qwen3.5 (9B), Sailor2-8B-Chat, SeaLLMs-v3-7B-Chat, and Llama-SEA-LION-v2-8B-IT, on a curated golden dataset of 200 Khmer question-answer pairs. To quantify system performance, we apply six RAGAS-inspired metrics: faithfulness, answer relevance, context relevance, factual correctness, answer similarity, and answer correctness. The results show no single model dominates across all metrics: Qwen3.5-9B achieves the highest faithfulness (0.859) and context relevance (0.726), Qwen3-8B attains the highest factual correctness (0.380), and SeaLLMs-v3-7B-Chat performs best on answer relevance (0.867), answer similarity (0.836), and answer correctness (0.599). These findings highlight that retriever choice remains a major bottleneck for Khmer RAG, while generator strengths vary depending on whether the priority is grounding, factual precision, or semantic similarity."
8,33.33,,,,,0.0,,WCXB: A Multi-Type Web Content Extraction Benchmark,Murrough Foley,,,0,0.0,0,0,0.0,0.0,0,0.0,,0,0.0,False,False,2,66.67,large language model; retrieval augmented generation,cs.CL,2026-05-20,http://arxiv.org/abs/2605.21097v1,https://arxiv.org/pdf/2605.21097v1,,2605.21097,arxiv,"Web content extraction - isolating a page's main content from surrounding boilerplate - is a prerequisite for search indexing, retrieval-augmented generation, NLP dataset construction, and large language model training. Progress in this area has been constrained by the limitations of existing evaluation benchmarks, which are small (100-800 pages), restricted to news articles, or based on web pages from over a decade ago. We introduce the Web Content Extraction Benchmark (WCXB), a dataset of 2,008 web pages from 1,613 domains spanning seven structurally distinct page types: articles, forums, products, collections, listings, documentation, and service pages. The dataset includes a 1,497-page development set and a 511-page held-out test set with matched page type distributions. Ground truth annotations were produced through a five-stage pipeline: LLM-assisted drafting, automated verification, four-pass frontier model review, snippet and quality verification scripts, and human review. We evaluate 13 extraction systems - 11 heuristic and 2 neural - and find that while top systems converge on articles (F1 = 0.93), performance diverges sharply on structured page types (F1 = 0.41-0.84), revealing blind spots invisible to existing article-only benchmarks. The dataset is released under CC-BY-4.0 with HTML source files, ground truth annotations, page type labels, and baseline results."
9,33.33,,,,,0.0,,Fine-grained Claim-level RAG Benchmark for Law,Souvick Das; Sallam Abualhaija; Domenico Bianculli,,,0,0.0,0,0,0.0,0.0,0,0.0,,0,0.0,False,False,2,66.67,large language model; retrieval augmented generation,cs.CL; cs.AI,2026-05-20,http://arxiv.org/abs/2605.21071v2,https://arxiv.org/pdf/2605.21071v2,,2605.21071,arxiv,"The rapid progress of large language models (LLMs) is shifting semantic search toward a question-answering paradigm, where users ask questions and LLMs generate responses. In high-stake domains such as law, retrieval-augmented generation (RAG) is commonly used to mitigate hallucinations in generated responses. Nonetheless, prior work shows that RAG systems, whether general-purpose or legal-specific, still hallucinate at varying rates, making fine-grained evaluation essential. Despite the need, existing evaluation frameworks for legal RAG systems lack the granularity required to provide detailed analysis of retrieval and generation performance separately. Moreover, current benchmarks are largely English-only and centered on legal expert queries, overlooking non-expert needs. We introduce ClaimRAG-LAW, a comprehensive dataset for legal RAG that supports French and English, targets both experts and non-experts, and includes diverse question types reflecting realistic scenarios. We further apply a fine-grained evaluation framework of state-of-the-art legal RAG systems, revealing limitations in retrieval, generation, and claim-level analysis in the legal domain."
10,33.33,,,,,0.0,,GraphRAG on Consumer Hardware: Benchmarking Local LLMs for Healthcare EHR Schema Retrieval,Peter Fernandes; Ria Kanjilal,,,0,0.0,0,0,0.0,0.0,0,0.0,,0,0.0,False,False,2,66.67,large language model; retrieval augmented generation,cs.CL; cs.AI; cs.IR; cs.LG,2026-05-20,http://arxiv.org/abs/2605.20815v1,https://arxiv.org/pdf/2605.20815v1,,2605.20815,arxiv,"Graph-based Retrieval Augmented Generation (GraphRAG) extends retrieval-augmented generation to support structured reasoning over complex corpora, but its reliability under resource-constrained, privacy-sensitive deployments remains unclear. In healthcare, where Electronic Health Record (EHR) data is complex and strictly regulated, reliance on cloud-based large language models (LLMs) introduces challenges in cost, latency, and compliance. In this work, we present a systematic evaluation of GraphRAG for EHR schema retrieval using locally deployed open-source LLMs. We implement the Microsoft GraphRAG pipeline on real-world EHR schema documentation and benchmark four models, including Llama 3.1 (8B), Mistral (7B), Qwen 2.5 (7B), and Phi-4-mini (3.8B), each deployed via Ollama on a single consumer GPU (8 GB VRAM). We evaluate indexing efficiency, knowledge graph construction, query latency, answer quality, and hallucination under both global and local retrieval modes. Our results reveal substantial differences: Llama 3.1 produces the richest knowledge graph (1,172 entities), Qwen 2.5 achieves the best answer quality (3.3/5), Phi-4-mini fails to complete the pipeline due to structured-output errors, and Mistral exhibits degenerate repetition behavior. We further show that GraphRAG exhibits a practical capacity threshold, where models below approximately 7B parameters fail to reliably produce valid structured outputs and cannot complete the pipeline. In addition, indexing and answer quality are decoupled across models, and local retrieval consistently outperforms global summarization in both latency and factual grounding, with reduced hallucination. These findings demonstrate that GraphRAG is feasible on consumer hardware while highlighting the importance of model selection and retrieval design for robust deployment in regulated settings."
